ip,duration,trans_protocol,app_protocol,send_bytes,recv_bytes,t_same_main_engine,t_same_server,t_same_server_rate,t_diff_server_rate,t_diff_main_engine_rate,t_same_main_engine_2,t_same_server_2,t_same_server_rate_2,t_diff_server_rate_2,t_diff_main_engine_rate_2,same_main_engine,same_server,same_server_rate,diff_server_rate,same_src_rate,diff_src_rate,std,mean,send_rst_flag_rate
192.168.89.10,5946627,TCP,HTTP,548,2211,7,38,1.0,0.0,0.82,5,21,1.0,0.0,0.76,7,7,1.0,0.0,0.14,0.86,138068.79088455904,5240.6783216783215,0.32567
192.168.89.10,4445306,TCP,HTTP,548,2211,8,38,1.0,0.0,0.79,6,22,1.0,0.0,0.73,8,8,1.0,0.0,0.12,0.88,138068.79051062663,5240.68931068931,0.32567
192.168.89.10,5631958,TCP,HTTP,548,2211,9,39,1.0,0.0,0.77,7,23,1.0,0.0,0.7,9,9,1.0,0.0,0.11,0.89,138068.79013669337,5240.7002997003,0.32567
192.168.89.10,4506683,TCP,HTTP,548,2211,10,39,1.0,0.0,0.74,8,21,1.0,0.0,0.62,10,10,1.0,0.0,0.1,0.9,138068.78976275926,5240.711288711289,0.32567
192.168.89.10,5769819,TCP,HTTP,548,2211,11,39,1.0,0.0,0.72,9,22,1.0,0.0,0.59,11,11,1.0,0.0,0.09,0.91,138068.78938882423,5240.722277722278,0.32567
112.45.121.33,448,TCP,HTTPS,157,146,1,2,1.0,0.0,0.5,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,138068.8028435997,5240.342657342658,0.32567
192.168.89.22,5003158,TCP,HTTP,1646,559,18,40,1.0,0.0,0.55,6,22,1.0,0.0,0.73,31,31,1.0,0.0,0.03,0.97,138068.76954799483,5241.450549450549,0.32567
192.168.89.22,5003381,TCP,HTTP,1646,559,18,40,1.0,0.0,0.55,7,22,1.0,0.0,0.68,32,32,1.0,0.0,0.03,0.97,138068.73624349196,5242.558441558442,0.32567
111.44.250.36,425,TCP,HTTPS,157,146,1,3,1.0,0.0,0.67,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,138068.7497033212,5242.178821178821,0.32567
192.168.89.22,5004002,TCP,HTTP,1646,560,19,41,1.0,0.0,0.54,8,23,1.0,0.0,0.65,32,32,1.0,0.0,0.03,0.97,138068.78816888918,5240.0999000999,0.32567
192.168.89.10,5852250,TCP,HTTP,548,2211,12,41,1.0,0.0,0.71,10,23,1.0,0.0,0.57,12,12,1.0,0.0,0.08,0.92,138068.7877950028,5240.110889110889,0.32567
192.168.89.10,6043584,TCP,HTTP,548,2211,13,41,1.0,0.0,0.68,10,23,1.0,0.0,0.57,13,13,1.0,0.0,0.08,0.92,138068.78742111553,5240.121878121878,0.32567
112.60.8.236,141119,TCP,HTTPS,209,64,1,4,1.0,0.0,0.75,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,138068.7989716436,5239.7942057942055,0.32567
192.168.89.22,5003628,TCP,HTTP,1646,560,16,39,1.0,0.0,0.59,8,23,1.0,0.0,0.65,30,30,1.0,0.0,0.03,0.97,138068.7656804387,5240.902097902098,0.32567
223.109.146.129,292099,TCP,HTTPS,2142,5353,1,5,1.0,0.0,0.8,1,4,1.0,0.0,0.75,1,1,1.0,0.0,1.0,0.0,138068.71817019332,5242.569430569431,0.32567
192.168.89.22,5006270,TCP,HTTP,1646,559,17,40,1.0,0.0,0.57,9,24,1.0,0.0,0.62,30,30,1.0,0.0,0.03,0.97,138068.68485669993,5243.677322677323,0.32567
192.168.89.22,229638,TCP,HTTP,472,527,17,39,1.0,0.0,0.56,10,25,1.0,0.0,0.6,30,30,1.0,0.0,0.03,0.97,138068.6874597318,5243.601398601399,0.32667
192.168.89.10,75530,TCP,HTTP,483,531,12,40,1.0,0.0,0.7,10,26,1.0,0.0,0.62,14,14,1.0,0.0,0.07,0.93,138068.68930922906,5243.547452547453,0.32767
192.168.89.10,117127,TCP,HTTP,483,532,13,41,1.0,0.0,0.68,11,27,1.0,0.0,0.59,15,15,1.0,0.0,0.07,0.93,138068.7259934006,5242.326673326674,0.32867
117.184.34.196,203926,TCP,HTTPS,1749,7233,1,6,1.0,0.0,0.83,1,5,1.0,0.0,0.8,1,1,1.0,0.0,1.0,0.0,138068.69003917475,5243.5374625374625,0.32867
183.232.23.240,154488,TCP,HTTPS,1377,3104,1,7,1.0,0.0,0.86,1,6,1.0,0.0,0.83,1,1,1.0,0.0,1.0,0.0,138068.66398368886,5244.376623376624,0.32967
39.106.123.113,231754,TCP,HTTPS,1546,6375,1,8,1.0,0.0,0.88,1,7,1.0,0.0,0.86,1,1,1.0,0.0,1.0,0.0,138068.65766579864,5244.605394605394,0.32967
192.168.89.22,5002667,TCP,HTTP,1646,559,17,41,1.0,0.0,0.59,11,27,1.0,0.0,0.59,30,30,1.0,0.0,0.03,0.97,138068.62433595365,5245.713286713287,0.32967
