ip,duration,trans_protocol,app_protocol,send_bytes,recv_bytes,t_same_main_engine,t_same_server,t_same_server_rate,t_diff_server_rate,t_diff_main_engine_rate,t_same_main_engine_2,t_same_server_2,t_same_server_rate_2,t_diff_server_rate_2,t_diff_main_engine_rate_2,same_main_engine,same_server,same_server_rate,diff_server_rate,same_src_rate,diff_src_rate,std,mean,send_rst_flag_rate,label
192.168.89.22,5006698,0,1,1646,559,26,36,1.0,0.0,0.28,12,19,1.0,0.0,0.37,35,35,1.0,0.0,0.03,0.97,138069.18691702464,5227.64835164835,0.32566999999999996,0
192.168.89.10,12988944,0,1,3083,20334,3,31,1.0,0.0,0.9,3,18,1.0,0.0,0.83,3,3,1.0,0.0,0.33,0.67,138069.1239350022,5230.1918081918075,0.32566999999999996,0
192.168.89.10,5491239,0,1,548,2212,4,30,1.0,0.0,0.87,4,17,1.0,0.0,0.76,4,4,1.0,0.0,0.25,0.75,138069.12356190535,5230.202797202797,0.32566999999999996,0
192.168.89.10,6730826,0,1,548,2211,5,31,1.0,0.0,0.84,3,14,1.0,0.0,0.79,5,5,1.0,0.0,0.2,0.8,138069.1231888076,5230.213786213786,0.32566999999999996,0
192.168.89.22,5002799,0,1,1646,559,19,30,1.0,0.0,0.37,7,15,1.0,0.0,0.53,32,32,1.0,0.0,0.03,0.97,138069.08997455589,5231.321678321679,0.32566999999999996,0
192.168.59.4,5047116,0,1,3749,29558,2,31,1.0,0.0,0.94,1,14,1.0,0.0,0.93,2,2,1.0,0.0,0.5,0.5,138069.01816318813,5234.5304695304685,0.32566999999999996,0
192.168.89.22,5003881,0,1,1646,560,20,32,1.0,0.0,0.38,6,15,1.0,0.0,0.6,33,33,1.0,0.0,0.03,0.97,138068.9723157692,5235.995004995005,0.32566999999999996,0
192.168.59.4,4916154,0,1,2010,11999,3,31,1.0,0.0,0.9,2,14,1.0,0.0,0.86,3,3,1.0,0.0,0.33,0.67,138068.9300759545,5237.466533466533,0.32566999999999996,0
192.168.59.4,4916002,0,1,2070,9113,4,32,1.0,0.0,0.88,3,15,1.0,0.0,0.8,4,4,1.0,0.0,0.25,0.75,138068.88643167046,5238.998001998002,0.32566999999999996,0
192.168.59.4,4913726,0,1,1890,2131,5,33,1.0,0.0,0.85,4,16,1.0,0.0,0.75,5,5,1.0,0.0,0.2,0.8,138068.84701676582,5240.349650349651,0.32566999999999996,0
192.168.59.4,4911465,0,1,1890,1822,6,34,1.0,0.0,0.82,5,17,1.0,0.0,0.71,6,6,1.0,0.0,0.17,0.83,138068.80758861772,5241.701298701299,0.32566999999999996,0
192.168.59.4,4908715,0,1,1098,895,7,35,1.0,0.0,0.8,6,18,1.0,0.0,0.67,7,7,1.0,0.0,0.14,0.86,138068.77941528367,5242.552447552447,0.32566999999999996,0
192.168.89.22,5004873,0,1,1646,559,19,36,1.0,0.0,0.47,6,19,1.0,0.0,0.68,33,33,1.0,0.0,0.03,0.97,138068.74610194142,5243.66033966034,0.32566999999999996,0
192.168.89.22,5002779,0,1,1646,559,20,37,1.0,0.0,0.46,7,20,1.0,0.0,0.65,34,34,1.0,0.0,0.03,0.97,138068.71277970105,5244.768231768232,0.32566999999999996,0
192.168.89.10,5785031,0,1,548,2212,6,37,1.0,0.0,0.84,4,21,1.0,0.0,0.81,6,6,1.0,0.0,0.17,0.83,138068.71240544293,5244.779220779221,0.32566999999999996,0
192.168.89.10,5946627,0,1,548,2211,7,38,1.0,0.0,0.82,5,21,1.0,0.0,0.76,7,7,1.0,0.0,0.14,0.86,138068.79088455904,5240.678321678322,0.32566999999999996,0
192.168.89.10,4445306,0,1,548,2211,8,38,1.0,0.0,0.79,6,22,1.0,0.0,0.73,8,8,1.0,0.0,0.12,0.88,138068.79051062663,5240.68931068931,0.32566999999999996,0
192.168.89.10,5631958,0,1,548,2211,9,39,1.0,0.0,0.77,7,23,1.0,0.0,0.7,9,9,1.0,0.0,0.11,0.89,138068.79013669337,5240.7002997003,0.32566999999999996,0
192.168.89.10,4506683,0,1,548,2211,10,39,1.0,0.0,0.74,8,21,1.0,0.0,0.62,10,10,1.0,0.0,0.1,0.9,138068.78976275926,5240.711288711289,0.32566999999999996,0
192.168.89.10,5769819,0,1,548,2211,11,39,1.0,0.0,0.72,9,22,1.0,0.0,0.59,11,11,1.0,0.0,0.09,0.91,138068.78938882425,5240.722277722278,0.32566999999999996,0
112.45.121.33,448,0,3,157,146,1,2,1.0,0.0,0.5,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,138068.8028435997,5240.342657342658,0.32566999999999996,0
192.168.89.22,5003158,0,1,1646,559,18,40,1.0,0.0,0.55,6,22,1.0,0.0,0.73,31,31,1.0,0.0,0.03,0.97,138068.76954799483,5241.450549450548,0.32566999999999996,0
192.168.89.22,5003381,0,1,1646,559,18,40,1.0,0.0,0.55,7,22,1.0,0.0,0.68,32,32,1.0,0.0,0.03,0.97,138068.73624349196,5242.558441558442,0.32566999999999996,0
111.44.250.36,425,0,3,157,146,1,3,1.0,0.0,0.67,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,138068.7497033212,5242.178821178821,0.32566999999999996,0
192.168.89.22,5004002,0,1,1646,560,19,41,1.0,0.0,0.54,8,23,1.0,0.0,0.65,32,32,1.0,0.0,0.03,0.97,138068.78816888918,5240.0999000999,0.32566999999999996,0
192.168.89.10,5852250,0,1,548,2211,12,41,1.0,0.0,0.71,10,23,1.0,0.0,0.57,12,12,1.0,0.0,0.08,0.92,138068.7877950028,5240.11088911089,0.32566999999999996,0
192.168.89.10,6043584,0,1,548,2211,13,41,1.0,0.0,0.68,10,23,1.0,0.0,0.57,13,13,1.0,0.0,0.08,0.92,138068.78742111553,5240.121878121878,0.32566999999999996,0
112.60.8.236,141119,0,3,209,64,1,4,1.0,0.0,0.75,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,138068.79897164358,5239.7942057942055,0.32566999999999996,1
192.168.89.22,5003628,0,1,1646,560,16,39,1.0,0.0,0.59,8,23,1.0,0.0,0.65,30,30,1.0,0.0,0.03,0.97,138068.7656804387,5240.902097902098,0.32566999999999996,0
223.109.146.129,292099,0,3,2142,5353,1,5,1.0,0.0,0.8,1,4,1.0,0.0,0.75,1,1,1.0,0.0,1.0,0.0,138068.71817019332,5242.5694305694315,0.32566999999999996,0
192.168.89.22,5006270,0,1,1646,559,17,40,1.0,0.0,0.57,9,24,1.0,0.0,0.62,30,30,1.0,0.0,0.03,0.97,138068.68485669993,5243.677322677323,0.32566999999999996,0
192.168.89.22,229638,0,1,472,527,17,39,1.0,0.0,0.56,10,25,1.0,0.0,0.6,30,30,1.0,0.0,0.03,0.97,138068.6874597318,5243.601398601399,0.32666999999999996,0
192.168.89.10,75530,0,1,483,531,12,40,1.0,0.0,0.7,10,26,1.0,0.0,0.62,14,14,1.0,0.0,0.07,0.93,138068.68930922906,5243.547452547453,0.32766999999999996,1
192.168.89.10,117127,0,1,483,532,13,41,1.0,0.0,0.68,11,27,1.0,0.0,0.59,15,15,1.0,0.0,0.07,0.93,138068.7259934006,5242.326673326675,0.32866999999999996,1
117.184.34.196,203926,0,3,1749,7233,1,6,1.0,0.0,0.83,1,5,1.0,0.0,0.8,1,1,1.0,0.0,1.0,0.0,138068.69003917475,5243.5374625374625,0.32866999999999996,0
183.232.23.240,154488,0,3,1377,3104,1,7,1.0,0.0,0.86,1,6,1.0,0.0,0.83,1,1,1.0,0.0,1.0,0.0,138068.66398368884,5244.376623376625,0.32966999999999996,1
39.106.123.113,231754,0,3,1546,6375,1,8,1.0,0.0,0.88,1,7,1.0,0.0,0.86,1,1,1.0,0.0,1.0,0.0,138068.65766579864,5244.605394605394,0.32966999999999996,0
